Club	Crew	Day	Mens/Ladies	Position
Cantabs	Cantabs 8	Thurs	Men	39
Cantabs	Cantabs 9	Thurs	Men	46
Champs	Champs	Thurs	Men	17
Champs	Champs 2	Thurs	Men	23
Champs	Champs 3	Thurs	Men	35
Champs	Champs 4	Thurs	Men	36
Champs	Champs 5	Thurs	Men	43
Champs	Champs 6	Thurs	Men	44
Chesterton	Chesterton	Thurs	Men	10
Chesterton	Chesterton 2	Thurs	Men	33
Chesterton	Chesterton 3	Thurs	Men	53
City	City	Thurs	Men	6
City	City 10	Thurs	Men	40
City	City 11	Thurs	Men	42
City	City 12	Thurs	Men	59
City	City 2	Thurs	Men	9
City	City 3	Thurs	Men	15
City	City 4	Thurs	Men	20
City	City 5	Thurs	Men	19
City	City 6	Thurs	Men	21
City	City 7	Thurs	Men	26
City	City 8	Thurs	Men	32
City	City 9	Thurs	Men	37
Isle of Ely	Isle of Ely	Thurs	Men	38
Radegund	Radegund	Thurs	Men	25
Radegund	Radegund 2	Thurs	Men	41
Rob Roy	Rob Roy	Thurs	Men	2
Rob Roy	Rob Roy 2	Thurs	Men	3
Rob Roy	Rob Roy 3	Thurs	Men	13
Rob Roy	Rob Roy 4	Thurs	Men	28
St Neots	St Neots	Thurs	Men	4
St Neots	St Neots 2	Thurs	Men	27
Xpress	X-Press	Thurs	Men	7
Xpress	X-Press 2	Thurs	Men	18
Xpress	X-Press 3	Thurs	Men	22
Xpress	X-Press 4	Thurs	Men	29
Xpress	X-press 5	Thurs	Men	49
Xpress	X-Press 6	Thurs	Men	51
Xpress	X-Press 7	Thurs	Men	54
Xpress	X-Press 8	Thurs	Men	60
99	99	Tues	Men	4
99	99 2	Tues	Men	11
99	99 3	Tues	Men	17
99	99 4	Tues	Men	28
99	99 5	Tues	Men	47
99	99 6	Tues	Men	49
99	99 7	Tues	Men	53
Camb Vets	Camb Vets	Tues	Men	57
Cantabs	Cantabs	Tues	Men	1
Cantabs	Cantabs 10	Tues	Men	46
Cantabs	Cantabs 11	Tues	Men	51
Cantabs	Cantabs 12	Tues	Men	55
Cantabs	Cantabs 13	Tues	Men	56
Cantabs	Cantabs 14	Tues	Men	58
Cantabs	Cantabs 15	Tues	Men	60
Cantabs	Cantabs 2	Tues	Men	8
Cantabs	Cantabs 3	Tues	Men	10
Cantabs	Cantabs 4	Tues	Men	19
Cantabs	Cantabs 5	Tues	Men	25
Cantabs	Cantabs 6	Tues	Men	32
Cantabs	Cantabs 7	Tues	Men	35
Cantabs	Cantabs 8	Tues	Men	39
Cantabs	Cantabs 9	Tues	Men	45
Champs	Champs	Tues	Men	16
Champs	Champs 2	Tues	Men	22
Champs	Champs 3	Tues	Men	34
Champs	Champs 4	Tues	Men	36
Champs	Champs 5	Tues	Men	41
Champs	Champs 6	Tues	Men	43
Chesterton	Chesterton	Tues	Men	12
Chesterton	Chesterton 2	Tues	Men	33
Chesterton	Chesterton 3	Tues	Men	54
City	City	Tues	Men	6
City	City 10	Tues	Men	42
City	City 11	Tues	Men	44
City	City 12	Tues	Men	59
City	City 2	Tues	Men	9
City	City 3	Tues	Men	14
City	City 4	Tues	Men	18
City	City 5	Tues	Men	20
City	City 6	Tues	Men	21
City	City 7	Tues	Men	26
City	City 8	Tues	Men	30
City	City 9	Tues	Men	37
Isle of Ely	Isle of Ely	Tues	Men	38
Radegund	Radegund	Tues	Men	23
Radegund	Radegund 2	Tues	Men	40
Rob Roy	Rob Roy	Tues	Men	2
Rob Roy	Rob Roy 2	Tues	Men	3
Rob Roy	Rob Roy 3	Tues	Men	13
Rob Roy	Rob Roy 4	Tues	Men	29
St Neots	St Neots	Tues	Men	5
St Neots	St Neots 2	Tues	Men	31
Xpress	X-Press	Tues	Men	7
Xpress	X-Press 2	Tues	Men	15
Xpress	X-Press 3	Tues	Men	24
Xpress	X-Press 4	Tues	Men	27
Xpress	X-press 5	Tues	Men	48
Xpress	X-Press 6	Tues	Men	50
Xpress	X-Press 7	Tues	Men	52
Xpress	X-Press 8	Tues	Men	61
99	99	Wed	Men	4
99	99 2	Wed	Men	12
99	99 3	Wed	Men	16
99	99 4	Wed	Men	27
99	99 5	Wed	Men	46
99	99 6	Wed	Men	48
99	99 7	Wed	Men	51
Camb Vets	Camb Vets	Wed	Men	58
Cantabs	Cantabs	Wed	Men	1
Cantabs	Cantabs 10	Wed	Men	47
Cantabs	Cantabs 11	Wed	Men	52
Cantabs	Cantabs 12	Wed	Men	55
Cantabs	Cantabs 13	Wed	Men	56
Cantabs	Cantabs 14	Wed	Men	57
Cantabs	Cantabs 15	Wed	Men	60
Cantabs	Cantabs 2	Wed	Men	8
Cantabs	Cantabs 3	Wed	Men	10
Cantabs	Cantabs 4	Wed	Men	15
Cantabs	Cantabs 5	Wed	Men	25
Cantabs	Cantabs 6	Wed	Men	32
Cantabs	Cantabs 7	Wed	Men	34
Cantabs	Cantabs 8	Wed	Men	39
Cantabs	Cantabs 9	Wed	Men	45
Champs	Champs	Wed	Men	17
Champs	Champs 2	Wed	Men	22
Champs	Champs 3	Wed	Men	35
Champs	Champs 4	Wed	Men	37
Champs	Champs 5	Wed	Men	42
Champs	Champs 6	Wed	Men	44
Chesterton	Chesterton	Wed	Men	11
Chesterton	Chesterton 2	Wed	Men	33
Chesterton	Chesterton 3	Wed	Men	54
City	City	Wed	Men	6
City	City 10	Wed	Men	41
City	City 11	Wed	Men	43
City	City 12	Wed	Men	59
City	City 2	Wed	Men	9
City	City 3	Wed	Men	14
City	City 4	Wed	Men	19
City	City 5	Wed	Men	20
City	City 6	Wed	Men	21
City	City 7	Wed	Men	26
City	City 8	Wed	Men	31
City	City 9	Wed	Men	36
Isle of Ely	Isle of Ely	Wed	Men	38
Radegund	Radegund	Wed	Men	24
Radegund	Radegund 2	Wed	Men	40
Rob Roy	Rob Roy	Wed	Men	2
Rob Roy	Rob Roy 2	Wed	Men	3
Rob Roy	Rob Roy 3	Wed	Men	13
Rob Roy	Rob Roy 4	Wed	Men	29
St Neots	St Neots	Wed	Men	5
St Neots	St Neots 2	Wed	Men	30
Xpress	X-Press	Wed	Men	7
Xpress	X-Press 2	Wed	Men	18
Xpress	X-Press 3	Wed	Men	23
Xpress	X-Press 4	Wed	Men	28
Xpress	X-press 5	Wed	Men	49
Xpress	X-Press 6	Wed	Men	50
Xpress	X-Press 7	Wed	Men	53
Xpress	X-Press 8	Wed	Men	61
